DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
05-Feb;0;1;1;0;0;;;;0;TIENDA MODELORAMA, AV. KENEDY;0;0;1;0;0;1;1;0;0;0;0;0;2;;
06-Feb;1;1;1;0;1;28;;;0;C. MÉDICO MILITAR, COL. LOMAS DOS;0;0;1;0;0;1;0;0;0;0;0;0;0;;
08-Feb;1;1;1;0;1;44;;;0;RESTAURANT LAS HERRADURAS;0;5;1;0;0;1;1;0;0;0;0;0;1;;"FAMILLE ATTAQUÉE APRÈS ENTERREMENT/ ""pelushine"""
08-Feb;1;1;1;0;0;;;;0;HOTEL SAHUARO;0;14;1;0;0;1;1;0;0;0;0;0;0;;HOTEL MITRAILLÉ ET JET DE GRENADES
10-Feb;1;1;1;0;1;23;1;Col. Empalme-Nogales;0;C. JUVENTINO ROSAS, COL. LOMAS DE NOGALES 2;0;0;0;0;0;1;1;0;0;0;0;0;1;;ATTAQUÉ DANS LA RUE ET SUIVI JUSQU'AU DOMICILE OÙ IL EST TUÉ
11-Feb;0;0;0;0;0;;;;0;C. CABECO Y COLINAS, COL. LOMAS DE FÁTIMA;0;0;1;1;0;0;0;0;0;0;1;0;0;;TÊTE COUVERTE D'UN SAC NOIR
12-Feb;1;1;1;0;1;24;1;Col. Lomas del Sol;0;C. TRECEAVA, COL. SOLIDARIDAD;0;1;1;0;0;1;1;0;0;0;0;0;1;;
17-Feb;1;1;1;0;1;17;;;0;TIENDA MODELORAMA, AV. DE LOS MAESTROS, COL. JARDINES DEL BOSQUE;0;0;1;0;0;1;0;0;0;0;0;0;2;;FRÈRE ASSASINÉ L'ANNÉE PRÉCÉDENTE DANS LE MÊME LIEU
19-Feb;1;1;1;0;1;37;;;0;EXPENDIO DE CERVEZA, C. HERMOSILLO Y NAVOJOA, COL. GRANJA;0;2;1;0;0;1;1;0;0;0;0;0;0;;PEI, EMBUSCADE, BALLE TIRÉES DANS LE DOS
20-Feb;0;0;0;0;0;;;;0;IGLESIA DIVINA PROVIDENCIA, C. NACOZARI;0;0;1;1;0;0;0;0;1;0;1;0;1;;
23-Feb;1;1;1;0;1;46;;;0;C. CELAYA Y RUIZ CORTINEZ;1;1 (MEURT LE 5 MARS);1;0;0;1;1;0;0;0;0;0;1;MICHOACAN;VENDEUR DE TACOS/en face de l'extra de homero
03-Mar;1;1;1;0;1;18;;;0;C. CUCHUTA, COL. LA GRANJA;1;0;1;1;0;0;0;0;1;0;1;1;1;SINALOA;TÊTE COUVERTE D'UN SAC PLASTIQUE
03-Mar;0;0;0;0;0;;;;0;C. CUCHUTA, COL. LA GRANJA;1;0;1;1;0;0;0;0;1;0;1;1;1;;
